Schüler	pupil; student
Bedeutung	meaning
Text	text
ach	oh
Ergebnis	result
helfen	to help
Krieg	war
sechs	six
niemand	nobody
gewinnen	to win
halb	half
schließen	to close
Weise	way; manner
Regierung	government
wahrscheinlich	probable; probably
europäisch	European
Stück	piece
Wohnung	apartment
fühlen	to feel
Gespräch	conversation
bieten	to offer
interessieren	to interest; to be interested
wesentlich	essential; fundamental
erinnern	to remind; to remember
Meter	meter
her	(from a direction); here
Punkt	dot; point; period
Situation	situation
ähnlich	similar
ergeben	to result in; to yield
dagegen	against it; on the other hand
häufig	frequent
Lehrer	teacher
anbieten	to offer
ebenso	just as; as much as; as well
studieren	to study
danach	after it; afterwards
Preis	price; prize
Abbildung	illustration
Begriff	concept; idea; term
Funktion	function
verbinden	to connect; to link
ziemlich	quite; fairly
ansehen	to look at; to watch
Boden	ground; floor; bottom
fehlen	to lack; to be missing; to be absent
Jahrhundert	century
Sohn	son
Werk	work; factory
bedeuten	to mean
schwarz	black
vergleichen	to compare
außerdem	besides; in addition
inzwischen	in the meantime
sofort	immediately
steigen	to climb; to increase
Stimme	voice
acht	eight
plötzlich	suddenly
Rahmen	frame; framework
Richtung	direction
völlig	complete; completely
nutzen	to use
Programm	program; schedule
Angst	fear; anxiety
gering	low; small
Information	information
Kunst	art
Musik	music
schauen	to look
schwierig	difficult
Politik	politics
verlassen	to leave
manch-	some; many a
bald	soon
einsetzen	to put in; to insert
Beruf	occupation; job; profession
praktisch	practical
ändern	to change
genug	enough
persönlich	personal; personally
wachsen	to grow
ausgehen	to go out; to assume
Regel	rule
Schritt	step
jährig	year-old
Absatz	sales; paragraph; heel
geschehen	to happen; to occur
Gott	god; God
Auto	car
beschreiben	to describe
Beziehung	relation; relationship
Erfahrung	experience
Tisch	table
annehmen	to accept; to assume
endlich	finally; at last
kriegen	to get; to receive
Zukunft	future
planen	to plan
Spiel	game
